Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_neo	tree_length
0	-91.86256	-357.7477	265.8851	2.658338	0.1495314	0.3286367
6	-98.55626	-364.5989	266.0426	2.470051	0.1778534	0.4239064
12	-105.59	-371.6359	266.0459	2.442836	0.1895651	0.4937203
18	-97.20331	-363.3099	266.1066	2.312574	0.2065738	0.6025545
24	-101.1369	-367.2093	266.0724	2.36865	0.2031231	0.4437912
30	-110.411	-376.1375	265.7265	2.591998	0.2442361	0.4202434
36	-114.293	-380.5549	266.2619	2.387562	0.139222	0.5649977
42	-121.1959	-386.5304	265.3345	2.521383	0.4581634	0.606705
48	-110.1489	-376.04	265.8911	2.717036	0.1454503	0.3932265
54	-99.59409	-365.7892	266.1951	1.979072	0.249724	0.8185075
60	-98.56273	-364.804	266.2412	1.929214	0.2555757	0.8035216
66	-106.4999	-371.1206	264.6207	1.877799	0.9759184	1.342475
72	-113.5681	-377.8642	264.2961	1.392256	0.7343044	2.109912
78	-111.4774	-372.6717	261.1943	1.441617	1.658152	3.467207
84	-109.4293	-372.3378	262.9085	1.376303	0.5874452	3.104668
90	-118.2922	-381.0129	262.7206	0.9521662	0.1555243	4.003548
96	-109.2917	-373.2448	263.9531	1.413885	0.5330484	2.495996
102	-106.1463	-371.7121	265.5658	1.399558	0.3419552	1.670909
108	-100.4817	-365.4302	264.9485	1.285751	0.3135898	2.206761
114	-106.2065	-370.947	264.7406	1.521299	0.6936055	1.758068
120	-117.0842	-381.6776	264.5933	1.692534	0.6183773	1.812686
126	-123.4616	-388.6658	265.2042	1.528677	0.3563503	1.812686
132	-116.1964	-381.4127	265.2163	1.640451	0.5340273	1.493629
138	-116.4657	-381.6169	265.1512	1.365448	0.412988	1.88399
144	-112.5889	-376.8871	264.2982	1.375578	0.615813	2.222435
150	-136.9109	-398.1799	261.269	2.893135	6.583391	1.329354
156	-142.0241	-402.0065	259.9823	2.830658	7.322704	2.169936
162	-111.9564	-376.4149	264.4584	1.101204	0.3600748	2.569965
168	-112.8958	-378.0263	265.1305	1.579511	0.6192303	1.507988
174	-112.3169	-378.0516	265.7346	1.53598	0.2904811	1.53333
180	-117.2576	-383.3185	266.0609	1.440662	0.2787267	1.37898
186	-128.257	-392.7567	264.4997	1.677984	0.4111911	2.112392
192	-122.232	-385.3191	263.0871	1.014626	0.2324629	3.621359
198	-121.0251	-384.8354	263.8104	1.069711	0.1740211	3.267492
204	-133.0109	-398.3332	265.3223	2.888419	0.2426466	0.2889204
210	-120.1592	-385.3916	265.2324	1.58	0.5237727	1.538825
216	-106.8638	-372.582	265.7182	1.786658	0.1440495	1.670645
222	-107.7535	-370.9658	263.2124	1.525876	1.064177	2.487509
228	-109.754	-372.3328	262.5788	1.84198	1.456486	2.479016
234	-107.746	-371.9855	264.2395	2.714545	1.202687	0.6294777
240	-116.783	-381.0505	264.2676	2.557125	1.266094	0.7638524
246	-125.3147	-389.5387	264.224	2.666131	1.266094	0.6518648
252	-124.4984	-388.2047	263.7063	1.818472	1.132916	1.937203
258	-122.2716	-388.1125	265.8408	1.917109	0.4244656	0.8612121
264	-129.2009	-395.0392	265.8383	2.522438	0.2329064	0.4656982
270	-129.2332	-395.0927	265.8595	2.503432	0.2329064	0.488016
276	-112.8204	-378.9317	266.1113	2.349303	0.1987419	0.488016
282	-114.4042	-379.9179	265.5137	2.130181	0.5567127	0.7118653
288	-110.4361	-375.9399	265.5038	2.007219	0.5447291	0.9107446
294	-101.0367	-366.9121	265.8754	1.990946	0.3384557	0.9326386
300	-114.9159	-380.9745	266.0586	2.238034	0.21701	0.7738145
306	-119.2892	-384.3488	265.0596	2.437868	0.709887	0.5323455
312	-118.9286	-384.7651	265.8364	2.415717	0.2598014	0.3714391
318	-111.6957	-377.0658	265.3702	2.522996	0.4281412	0.3764611
324	-130.5598	-395.2239	264.6641	2.897933	0.5287905	0.2486372
330	-109.9616	-374.8173	264.8557	2.887006	0.4294279	0.2542566
336	-111.7798	-377.2406	265.4608	2.887006	0.1756791	0.2542566
342	-97.23868	-362.2171	264.9784	2.910194	0.3244449	0.2243305
348	-92.63957	-358.1135	265.4739	2.783384	0.1894969	0.2320506
354	-97.46738	-362.824	265.3566	2.817531	0.2175973	0.2320506
360	-93.57912	-358.6896	265.1105	3.057263	0.1352063	0.1499404
366	-97.63414	-362.2171	264.583	3.202866	0.2018722	0.120222
372	-101.6679	-366.4671	264.7992	3.202866	0.182962	0.1492844
378	-106.8654	-371.0559	264.1906	3.202866	0.396785	0.1320302
384	-114.8495	-379.3967	264.5472	3.357564	0.1725181	0.1247116
390	-118.94	-384.8015	265.8615	1.700558	0.3655032	1.16949
